company,Yelp,Etsy,Indiegogo,Pandora,Pinterest,Slack,Groupon,Netflix,LinkedIn,AirBnB,eBay,Amazon,Uber,Twitter,Yahoo!,HP,Flickr,Tumblr,Facebook,Instagram,Apple,Ingram Micro,Salesforce,Google,YouTube,Dell,Intel,Microsoft,Cisco,Nvidia
female,54.0,54.0,50.0,49.0,45.0,45.0,44.0,43.0,42.0,41.0,40.0,39.0,38.0,38.0,37.0,37.0,37.0,37.0,35.0,35.0,32.0,31.0,31.0,31.0,31.0,28.0,26.0,26.0,24.0,17.0
male,46.0,46.0,50.0,51.0,55.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,62.0,63.0,63.0,63.0,63.0,65.0,65.0,68.0,69.0,69.0,69.0,69.0,72.0,74.0,74.0,76.0,83.0
